Time (s),Intensity
1.0,499.0
2.0,499.0
3.0,500.0
4.0,500.0
5.0,500.0
6.0,500.0
7.0,499.0
8.0,499.0
9.0,499.0
10.0,499.0
11.0,499.0
12.0,495.0
13.0,499.0
14.0,499.0
15.0,499.0
16.0,498.0
17.0,499.0
18.0,498.0
19.0,496.0
20.0,499.0
22.0,498.0
23.0,500.0
24.0,499.0
25.0,499.0
26.0,498.0
27.0,498.0
28.0,499.0
29.0,497.0
30.0,499.0
31.0,499.0
32.0,499.0
33.0,498.0
34.0,499.0
35.0,499.0
36.0,495.0
37.0,499.0
38.0,499.0
39.0,499.0
40.0,499.0
41.0,499.0
42.0,499.0
43.0,495.0
44.0,499.0
45.0,499.0
46.0,499.0
47.0,500.0
48.0,499.0
49.0,499.0
50.0,498.0
51.0,499.0
52.0,499.0
53.0,499.0
54.0,499.0
55.0,500.0
56.0,499.0
57.0,499.0
58.0,499.0
59.0,498.0
60.0,499.0
61.0,499.0
62.0,500.0
63.0,500.0
65.0,499.0
66.0,499.0
67.0,499.0
68.0,499.0
69.0,499.0
70.0,499.0
71.0,499.0
72.0,499.0
73.0,500.0
74.0,499.0
75.0,499.0
76.0,499.0
77.0,499.0
78.0,499.0
79.0,499.0
80.0,500.0
81.0,500.0
82.0,499.0
83.0,499.0
84.0,499.0
85.0,499.0
86.0,499.0
87.0,499.0
88.0,500.0
89.0,500.0
90.0,499.0
91.0,499.0
92.0,499.0
93.0,498.0
94.0,499.0
95.0,499.0
96.0,500.0
97.0,499.0
98.0,499.0
99.0,499.0
100.0,499.0
101.0,499.0
102.0,499.0
103.0,500.0
104.0,500.0
105.0,500.0
106.0,499.0
108.0,499.0
109.0,499.0
110.0,499.0
111.0,499.0
112.0,499.0
113.0,499.0
114.0,499.0
115.0,500.0
116.0,499.0
117.0,499.0
118.0,499.0
119.0,499.0
120.0,499.0
121.0,499.0
122.0,500.0
123.0,500.0
124.0,499.0
125.0,499.0
126.0,499.0
127.0,499.0
128.0,499.0
129.0,500.0
130.0,500.0
131.0,499.0
132.0,499.0
133.0,499.0
134.0,499.0
135.0,499.0
136.0,499.0
137.0,499.0
138.0,499.0
139.0,499.0
140.0,499.0
141.0,499.0
142.0,499.0
143.0,499.0
144.0,499.0
145.0,500.0
146.0,499.0
147.0,500.0
148.0,499.0
150.0,499.0
151.0,499.0
152.0,498.0
153.0,499.0
154.0,500.0
155.0,500.0
156.0,499.0
157.0,499.0
158.0,499.0
159.0,498.0
160.0,499.0
161.0,499.0
162.0,500.0
163.0,500.0
164.0,500.0
165.0,499.0
166.0,499.0
167.0,499.0
168.0,499.0
169.0,499.0
170.0,499.0
171.0,499.0
172.0,500.0
173.0,499.0
174.0,499.0
175.0,499.0
176.0,499.0
177.0,499.0
178.0,499.0
179.0,500.0
180.0,500.0
181.0,500.0
182.0,499.0
183.0,499.0
184.0,499.0
185.0,499.0
186.0,499.0
187.0,500.0
188.0,499.0
189.0,499.0
190.0,499.0
191.0,499.0
193.0,498.0
194.0,499.0
195.0,500.0
196.0,499.0
197.0,499.0
198.0,500.0
199.0,499.0
200.0,499.0
201.0,499.0
202.0,499.0
203.0,500.0
204.0,499.0
205.0,500.0
206.0,500.0
207.0,499.0
208.0,499.0
209.0,499.0
210.0,499.0
211.0,499.0
212.0,500.0
213.0,499.0
214.0,500.0
215.0,499.0
216.0,499.0
217.0,499.0
218.0,499.0
219.0,499.0
220.0,499.0
221.0,500.0
222.0,500.0
223.0,499.0
224.0,499.0
225.0,499.0
226.0,499.0
227.0,499.0
228.0,500.0
229.0,500.0
230.0,499.0
231.0,499.0
232.0,499.0
233.0,499.0
234.0,499.0
236.0,499.0
237.0,499.0
238.0,500.0
239.0,499.0
240.0,500.0
241.0,499.0
242.0,499.0
243.0,499.0
244.0,499.0
245.0,499.0
246.0,500.0
247.0,500.0
248.0,500.0
249.0,499.0
250.0,499.0
251.0,499.0
252.0,499.0
253.0,499.0
254.0,500.0
255.0,500.0
256.0,499.0
257.0,499.0
258.0,499.0
259.0,499.0
260.0,499.0
261.0,499.0
262.0,500.0
263.0,500.0
264.0,500.0
265.0,499.0
266.0,499.0
267.0,499.0
268.0,499.0
269.0,499.0
270.0,499.0
271.0,500.0
272.0,500.0
273.0,499.0
274.0,499.0
275.0,499.0
276.0,499.0
278.0,499.0
279.0,500.0
280.0,500.0
281.0,499.0
282.0,499.0
283.0,500.0
284.0,499.0
285.0,499.0
286.0,499.0
287.0,499.0
288.0,499.0
289.0,499.0
290.0,499.0
291.0,499.0
292.0,499.0
293.0,499.0
294.0,499.0
295.0,500.0
296.0,500.0
297.0,500.0
298.0,500.0
299.0,500.0
300.0,499.0
301.0,499.0
302.0,499.0
303.0,499.0
304.0,499.0
305.0,499.0
306.0,499.0
307.0,499.0
308.0,499.0
309.0,499.0
310.0,499.0
311.0,499.0
312.0,500.0
313.0,500.0
314.0,499.0
315.0,499.0
316.0,499.0
317.0,499.0
318.0,499.0
319.0,499.0
321.0,499.0
322.0,500.0
323.0,500.0
324.0,499.0
325.0,499.0
326.0,499.0
327.0,499.0
328.0,499.0
329.0,500.0
330.0,500.0
331.0,499.0
332.0,500.0
333.0,499.0
334.0,499.0
335.0,499.0
336.0,499.0
337.0,500.0
338.0,499.0
339.0,500.0
340.0,499.0
341.0,499.0
342.0,499.0
343.0,499.0
344.0,499.0
345.0,500.0
346.0,500.0
347.0,500.0
348.0,500.0
349.0,500.0
350.0,499.0
351.0,499.0
352.0,499.0
353.0,500.0
354.0,500.0
355.0,500.0
356.0,499.0
357.0,499.0
358.0,499.0
359.0,499.0
360.0,500.0
361.0,500.0
362.0,500.0
364.0,500.0
365.0,500.0
366.0,499.0
367.0,499.0
368.0,499.0
369.0,499.0
370.0,499.0
371.0,499.0
372.0,500.0
373.0,500.0
374.0,499.0
375.0,499.0
376.0,499.0
377.0,499.0
378.0,499.0
379.0,500.0
380.0,500.0
381.0,500.0
382.0,499.0
383.0,499.0
384.0,499.0
385.0,499.0
386.0,499.0
387.0,500.0
388.0,500.0
389.0,500.0
390.0,499.0
391.0,499.0
392.0,499.0
393.0,499.0
394.0,499.0
395.0,500.0
396.0,500.0
397.0,499.0
398.0,499.0
399.0,499.0
400.0,499.0
401.0,498.0
402.0,499.0
403.0,499.0
404.0,500.0
406.0,492.0
407.0,499.0
408.0,499.0
409.0,499.0
410.0,499.0
411.0,499.0
412.0,499.0
413.0,500.0
414.0,500.0
415.0,499.0
416.0,499.0
417.0,499.0
418.0,499.0
419.0,499.0
420.0,500.0
421.0,500.0
422.0,499.0
423.0,500.0
424.0,499.0
425.0,499.0
426.0,497.0
427.0,496.0
428.0,499.0
429.0,500.0
430.0,500.0
431.0,499.0
432.0,499.0
433.0,499.0
434.0,498.0
435.0,499.0
436.0,499.0
437.0,499.0
438.0,500.0
439.0,499.0
440.0,499.0
441.0,499.0
442.0,499.0
443.0,499.0
444.0,499.0
445.0,500.0
446.0,500.0
447.0,499.0
449.0,499.0
450.0,499.0
451.0,499.0
452.0,499.0
453.0,499.0
454.0,499.0
455.0,499.0
456.0,499.0
457.0,499.0
458.0,499.0
459.0,499.0
460.0,499.0
461.0,499.0
462.0,499.0
463.0,500.0
464.0,500.0
465.0,500.0
466.0,499.0
467.0,499.0
468.0,499.0
469.0,499.0
470.0,500.0
471.0,499.0
472.0,500.0
473.0,499.0
474.0,499.0
475.0,499.0
476.0,499.0
477.0,499.0
478.0,499.0
479.0,500.0
480.0,500.0
481.0,499.0
482.0,499.0
483.0,499.0
484.0,499.0
485.0,499.0
486.0,500.0
487.0,499.0
488.0,499.0
489.0,500.0
490.0,499.0
492.0,499.0
493.0,499.0
494.0,499.0
495.0,499.0
496.0,499.0
497.0,500.0
498.0,499.0
499.0,499.0
500.0,499.0
501.0,499.0
502.0,498.0
503.0,500.0
504.0,499.0
505.0,499.0
506.0,499.0
507.0,499.0
508.0,499.0
