Time (s),Intensity
1.0,516.0
2.0,516.0
3.0,516.0
4.0,517.0
5.0,517.0
6.0,516.0
7.0,516.0
8.0,516.0
9.0,515.0
10.0,516.0
11.0,516.0
12.0,517.0
13.0,516.0
14.0,516.0
15.0,516.0
16.0,515.0
18.0,515.0
19.0,515.0
20.0,517.0
21.0,517.0
22.0,516.0
23.0,516.0
24.0,515.0
25.0,515.0
26.0,515.0
27.0,513.0
28.0,515.0
29.0,516.0
30.0,516.0
31.0,516.0
32.0,516.0
33.0,515.0
34.0,515.0
35.0,516.0
36.0,515.0
37.0,516.0
38.0,516.0
39.0,516.0
40.0,516.0
41.0,516.0
42.0,515.0
43.0,513.0
44.0,516.0
45.0,516.0
46.0,516.0
47.0,516.0
48.0,516.0
49.0,515.0
50.0,514.0
51.0,515.0
52.0,515.0
53.0,516.0
54.0,516.0
55.0,516.0
56.0,516.0
57.0,515.0
58.0,515.0
59.0,513.0
61.0,515.0
62.0,515.0
63.0,516.0
64.0,516.0
65.0,515.0
66.0,515.0
67.0,514.0
68.0,515.0
69.0,515.0
70.0,516.0
71.0,516.0
72.0,516.0
73.0,516.0
74.0,515.0
75.0,515.0
76.0,514.0
77.0,516.0
78.0,516.0
79.0,516.0
80.0,516.0
81.0,515.0
82.0,516.0
83.0,512.0
84.0,516.0
85.0,515.0
86.0,515.0
87.0,516.0
88.0,516.0
89.0,516.0
90.0,515.0
91.0,515.0
92.0,511.0
93.0,515.0
94.0,516.0
95.0,516.0
96.0,516.0
97.0,516.0
98.0,515.0
99.0,515.0
100.0,514.0
101.0,505.0
103.0,516.0
104.0,516.0
105.0,516.0
106.0,516.0
107.0,515.0
108.0,515.0
109.0,515.0
110.0,516.0
111.0,515.0
112.0,516.0
113.0,516.0
114.0,516.0
115.0,516.0
116.0,514.0
117.0,515.0
118.0,514.0
119.0,516.0
120.0,516.0
121.0,515.0
122.0,516.0
123.0,516.0
124.0,516.0
125.0,514.0
126.0,516.0
127.0,516.0
128.0,516.0
129.0,516.0
130.0,516.0
131.0,516.0
132.0,514.0
133.0,515.0
134.0,513.0
135.0,516.0
136.0,516.0
137.0,516.0
138.0,516.0
139.0,517.0
140.0,514.0
141.0,507.0
142.0,512.0
143.0,513.0
144.0,516.0
146.0,516.0
147.0,516.0
148.0,516.0
149.0,515.0
150.0,515.0
151.0,512.0
152.0,515.0
153.0,516.0
154.0,516.0
155.0,516.0
156.0,516.0
157.0,516.0
158.0,512.0
159.0,515.0
160.0,514.0
161.0,515.0
162.0,516.0
163.0,517.0
164.0,516.0
165.0,516.0
166.0,515.0
167.0,515.0
168.0,516.0
169.0,516.0
170.0,516.0
171.0,516.0
172.0,516.0
173.0,516.0
174.0,516.0
175.0,516.0
176.0,516.0
177.0,515.0
178.0,516.0
179.0,517.0
180.0,515.0
181.0,514.0
182.0,516.0
183.0,515.0
184.0,515.0
185.0,516.0
186.0,516.0
187.0,516.0
189.0,516.0
190.0,516.0
191.0,516.0
192.0,515.0
193.0,516.0
194.0,516.0
195.0,516.0
196.0,517.0
197.0,516.0
198.0,516.0
199.0,515.0
200.0,515.0
201.0,515.0
202.0,515.0
203.0,516.0
204.0,516.0
205.0,516.0
206.0,516.0
207.0,515.0
208.0,515.0
209.0,515.0
210.0,516.0
211.0,516.0
212.0,516.0
213.0,516.0
214.0,516.0
215.0,515.0
216.0,515.0
217.0,515.0
218.0,516.0
219.0,516.0
220.0,516.0
221.0,516.0
222.0,516.0
223.0,516.0
224.0,515.0
225.0,515.0
226.0,516.0
227.0,516.0
228.0,516.0
229.0,516.0
231.0,516.0
232.0,516.0
233.0,515.0
234.0,515.0
235.0,515.0
236.0,516.0
237.0,516.0
238.0,516.0
239.0,516.0
240.0,516.0
241.0,515.0
242.0,515.0
243.0,515.0
244.0,516.0
245.0,516.0
246.0,516.0
247.0,516.0
248.0,516.0
249.0,515.0
250.0,515.0
251.0,515.0
252.0,516.0
253.0,516.0
254.0,516.0
255.0,516.0
256.0,516.0
257.0,515.0
258.0,515.0
259.0,516.0
260.0,516.0
261.0,516.0
262.0,517.0
263.0,516.0
264.0,516.0
265.0,516.0
266.0,516.0
267.0,515.0
268.0,516.0
269.0,516.0
270.0,516.0
271.0,516.0
272.0,515.0
274.0,515.0
275.0,515.0
276.0,515.0
277.0,515.0
278.0,516.0
279.0,516.0
280.0,516.0
281.0,516.0
282.0,516.0
283.0,515.0
284.0,515.0
285.0,516.0
286.0,516.0
287.0,516.0
288.0,516.0
289.0,516.0
290.0,515.0
291.0,515.0
292.0,515.0
293.0,515.0
294.0,516.0
295.0,516.0
296.0,516.0
297.0,516.0
298.0,516.0
299.0,516.0
300.0,515.0
301.0,515.0
302.0,515.0
303.0,516.0
304.0,516.0
305.0,516.0
306.0,516.0
307.0,516.0
308.0,516.0
309.0,515.0
310.0,516.0
311.0,516.0
312.0,517.0
313.0,516.0
314.0,516.0
315.0,515.0
317.0,515.0
318.0,515.0
319.0,516.0
320.0,517.0
321.0,516.0
322.0,516.0
323.0,516.0
324.0,515.0
325.0,515.0
326.0,515.0
327.0,515.0
328.0,516.0
329.0,517.0
330.0,516.0
331.0,516.0
332.0,516.0
333.0,515.0
334.0,515.0
335.0,515.0
336.0,516.0
337.0,516.0
338.0,516.0
339.0,516.0
340.0,516.0
341.0,516.0
342.0,515.0
343.0,516.0
344.0,516.0
345.0,516.0
346.0,516.0
347.0,515.0
348.0,515.0
349.0,515.0
350.0,515.0
351.0,516.0
352.0,516.0
353.0,517.0
354.0,516.0
