Time (s),Intensity
1523.0,529.0
1524.0,530.0
1525.0,530.0
1526.0,530.0
1527.0,530.0
1528.0,529.0
1529.0,529.0
1530.0,529.0
1531.0,529.0
1532.0,530.0
1533.0,530.0
1534.0,529.0
1535.0,529.0
1536.0,529.0
1537.0,528.0
1538.0,529.0
1539.0,529.0
1540.0,529.0
1541.0,529.0
1542.0,530.0
1543.0,530.0
1544.0,530.0
1545.0,530.0
1546.0,530.0
1548.0,530.0
1549.0,530.0
1550.0,531.0
1551.0,531.0
1552.0,532.0
1553.0,531.0
1554.0,530.0
1555.0,530.0
1556.0,530.0
1557.0,531.0
1558.0,531.0
1559.0,531.0
1560.0,531.0
1561.0,531.0
1562.0,530.0
1563.0,530.0
1564.0,530.0
1565.0,531.0
1566.0,531.0
1567.0,531.0
1568.0,531.0
1569.0,531.0
1570.0,530.0
1571.0,531.0
1572.0,531.0
1573.0,531.0
1574.0,531.0
1575.0,531.0
1576.0,531.0
1577.0,530.0
1578.0,530.0
1579.0,530.0
1580.0,530.0
1581.0,530.0
1582.0,531.0
1583.0,531.0
1584.0,531.0
1585.0,531.0
1586.0,530.0
1587.0,530.0
1588.0,530.0
1590.0,530.0
1591.0,531.0
1592.0,532.0
1593.0,532.0
1594.0,531.0
1595.0,531.0
1596.0,530.0
1597.0,530.0
1598.0,530.0
1599.0,529.0
1600.0,529.0
1601.0,528.0
1602.0,527.0
1603.0,526.0
1604.0,525.0
1605.0,525.0
1606.0,524.0
1607.0,524.0
1608.0,524.0
1609.0,523.0
1610.0,523.0
1611.0,522.0
1612.0,522.0
1613.0,522.0
1614.0,522.0
1615.0,522.0
1616.0,523.0
1617.0,525.0
1618.0,527.0
1619.0,529.0
1620.0,530.0
1621.0,530.0
1622.0,531.0
1623.0,531.0
1624.0,531.0
1625.0,531.0
1626.0,530.0
1627.0,530.0
1628.0,529.0
1629.0,528.0
1630.0,527.0
1631.0,528.0
1633.0,529.0
1634.0,529.0
1635.0,528.0
1636.0,528.0
1637.0,528.0
1638.0,528.0
1639.0,528.0
1640.0,529.0
1641.0,529.0
1642.0,530.0
1643.0,530.0
1644.0,529.0
1645.0,529.0
1646.0,529.0
1647.0,529.0
1648.0,529.0
1649.0,527.0
1650.0,525.0
1651.0,523.0
1652.0,445.0
1653.0,140.0
1654.0,19.0
1655.0,17.0
1656.0,17.0
1657.0,16.0
1658.0,17.0
1659.0,25.0
1660.0,17.0
1661.0,18.0
1662.0,19.0
1663.0,22.0
1664.0,24.0
1665.0,94.0
1666.0,481.0
1667.0,529.0
1668.0,531.0
1669.0,531.0
1670.0,532.0
1671.0,532.0
1672.0,533.0
1673.0,532.0
1674.0,531.0
1676.0,531.0
1677.0,530.0
1678.0,530.0
1679.0,530.0
1680.0,530.0
1681.0,530.0
1682.0,530.0
1683.0,530.0
1684.0,530.0
1685.0,530.0
1686.0,530.0
1687.0,530.0
1688.0,530.0
1689.0,530.0
1690.0,532.0
1691.0,533.0
1692.0,534.0
1693.0,534.0
1694.0,531.0
1695.0,530.0
1696.0,530.0
1697.0,530.0
