Time (s),Intensity
226.0,525.0
227.0,529.0
228.0,529.0
229.0,529.0
230.0,529.0
231.0,529.0
232.0,529.0
233.0,529.0
234.0,530.0
235.0,530.0
236.0,530.0
237.0,530.0
238.0,529.0
239.0,529.0
240.0,530.0
241.0,530.0
242.0,530.0
243.0,530.0
244.0,531.0
245.0,530.0
246.0,528.0
247.0,528.0
248.0,528.0
249.0,529.0
250.0,529.0
251.0,530.0
252.0,528.0
253.0,530.0
254.0,529.0
255.0,529.0
256.0,529.0
257.0,530.0
258.0,530.0
259.0,530.0
260.0,530.0
262.0,530.0
263.0,530.0
264.0,529.0
265.0,530.0
266.0,530.0
267.0,530.0
268.0,530.0
269.0,530.0
270.0,530.0
271.0,530.0
272.0,529.0
273.0,529.0
274.0,530.0
275.0,530.0
276.0,530.0
277.0,530.0
278.0,530.0
279.0,529.0
280.0,529.0
281.0,529.0
282.0,529.0
283.0,530.0
284.0,531.0
285.0,531.0
286.0,530.0
287.0,530.0
288.0,529.0
289.0,529.0
290.0,529.0
291.0,530.0
292.0,530.0
293.0,530.0
294.0,530.0
295.0,530.0
296.0,529.0
297.0,529.0
298.0,529.0
299.0,530.0
300.0,530.0
301.0,530.0
302.0,530.0
303.0,529.0
305.0,530.0
306.0,530.0
307.0,529.0
308.0,530.0
309.0,530.0
310.0,530.0
311.0,530.0
312.0,530.0
313.0,529.0
314.0,529.0
315.0,529.0
316.0,530.0
317.0,530.0
318.0,530.0
319.0,530.0
320.0,530.0
321.0,529.0
322.0,529.0
323.0,529.0
324.0,530.0
325.0,531.0
326.0,531.0
327.0,530.0
328.0,530.0
329.0,530.0
330.0,529.0
331.0,529.0
332.0,530.0
333.0,530.0
334.0,530.0
335.0,530.0
336.0,530.0
337.0,530.0
338.0,529.0
339.0,529.0
340.0,529.0
341.0,529.0
342.0,530.0
343.0,530.0
344.0,531.0
345.0,530.0
347.0,529.0
348.0,529.0
349.0,529.0
350.0,529.0
351.0,530.0
352.0,530.0
353.0,530.0
354.0,529.0
355.0,529.0
356.0,529.0
357.0,529.0
358.0,529.0
359.0,530.0
360.0,530.0
361.0,530.0
362.0,530.0
363.0,529.0
364.0,530.0
365.0,530.0
366.0,530.0
367.0,530.0
368.0,530.0
369.0,530.0
370.0,530.0
371.0,529.0
372.0,529.0
373.0,529.0
374.0,530.0
375.0,530.0
376.0,530.0
377.0,530.0
378.0,530.0
379.0,530.0
380.0,529.0
381.0,529.0
382.0,529.0
383.0,530.0
384.0,531.0
385.0,531.0
386.0,530.0
387.0,529.0
388.0,529.0
390.0,529.0
391.0,529.0
392.0,528.0
393.0,530.0
394.0,530.0
395.0,530.0
396.0,530.0
397.0,529.0
398.0,529.0
399.0,529.0
400.0,530.0
401.0,530.0
402.0,530.0
403.0,530.0
404.0,529.0
405.0,530.0
406.0,530.0
407.0,529.0
408.0,529.0
409.0,530.0
410.0,530.0
411.0,530.0
412.0,529.0
413.0,528.0
414.0,529.0
415.0,529.0
416.0,529.0
417.0,530.0
418.0,530.0
419.0,530.0
420.0,529.0
421.0,529.0
422.0,529.0
423.0,529.0
424.0,530.0
425.0,531.0
426.0,530.0
427.0,530.0
428.0,530.0
429.0,529.0
430.0,529.0
431.0,529.0
433.0,530.0
434.0,530.0
435.0,530.0
436.0,530.0
437.0,530.0
438.0,530.0
439.0,529.0
440.0,529.0
441.0,530.0
442.0,529.0
443.0,530.0
444.0,531.0
445.0,531.0
446.0,530.0
447.0,530.0
448.0,529.0
449.0,529.0
450.0,530.0
451.0,530.0
452.0,530.0
453.0,530.0
454.0,530.0
455.0,529.0
456.0,529.0
457.0,529.0
458.0,530.0
459.0,530.0
460.0,530.0
461.0,530.0
462.0,530.0
463.0,529.0
464.0,530.0
465.0,530.0
466.0,530.0
467.0,530.0
468.0,530.0
469.0,530.0
470.0,530.0
471.0,529.0
472.0,529.0
473.0,529.0
475.0,530.0
476.0,530.0
477.0,530.0
478.0,530.0
479.0,530.0
480.0,529.0
481.0,529.0
482.0,529.0
483.0,530.0
484.0,531.0
485.0,531.0
486.0,531.0
487.0,530.0
488.0,529.0
489.0,529.0
490.0,530.0
491.0,530.0
492.0,530.0
493.0,530.0
494.0,530.0
495.0,530.0
496.0,530.0
497.0,529.0
498.0,529.0
499.0,529.0
500.0,530.0
501.0,530.0
502.0,530.0
503.0,530.0
504.0,530.0
505.0,530.0
506.0,529.0
507.0,530.0
508.0,530.0
509.0,530.0
510.0,530.0
511.0,530.0
512.0,529.0
513.0,529.0
514.0,529.0
515.0,529.0
516.0,530.0
518.0,530.0
519.0,530.0
520.0,530.0
521.0,529.0
522.0,529.0
523.0,529.0
524.0,530.0
525.0,531.0
526.0,531.0
527.0,530.0
528.0,530.0
529.0,530.0
530.0,529.0
531.0,529.0
532.0,529.0
533.0,529.0
534.0,530.0
535.0,530.0
536.0,530.0
537.0,529.0
538.0,529.0
539.0,529.0
540.0,529.0
541.0,530.0
542.0,530.0
543.0,530.0
544.0,531.0
545.0,531.0
546.0,529.0
547.0,529.0
548.0,529.0
549.0,530.0
550.0,530.0
551.0,530.0
552.0,530.0
553.0,530.0
554.0,529.0
555.0,529.0
556.0,529.0
557.0,530.0
558.0,530.0
559.0,530.0
561.0,530.0
562.0,530.0
563.0,530.0
564.0,530.0
565.0,530.0
566.0,531.0
567.0,530.0
568.0,530.0
569.0,530.0
570.0,530.0
571.0,529.0
572.0,529.0
573.0,529.0
574.0,530.0
575.0,530.0
576.0,530.0
577.0,530.0
578.0,530.0
579.0,530.0
580.0,529.0
581.0,529.0
582.0,529.0
583.0,530.0
584.0,531.0
585.0,531.0
586.0,530.0
587.0,530.0
588.0,529.0
589.0,529.0
590.0,529.0
591.0,530.0
592.0,530.0
593.0,530.0
594.0,530.0
595.0,529.0
596.0,529.0
597.0,529.0
598.0,529.0
599.0,529.0
600.0,530.0
601.0,530.0
603.0,530.0
604.0,530.0
605.0,530.0
606.0,530.0
607.0,529.0
608.0,529.0
609.0,530.0
610.0,529.0
611.0,530.0
612.0,530.0
613.0,529.0
614.0,529.0
615.0,529.0
616.0,529.0
617.0,530.0
618.0,530.0
619.0,530.0
620.0,530.0
621.0,529.0
622.0,529.0
623.0,529.0
624.0,530.0
625.0,531.0
626.0,531.0
627.0,530.0
628.0,530.0
629.0,529.0
630.0,529.0
631.0,529.0
632.0,529.0
633.0,530.0
634.0,530.0
635.0,530.0
636.0,530.0
637.0,529.0
638.0,529.0
639.0,529.0
640.0,529.0
641.0,530.0
642.0,530.0
643.0,530.0
644.0,531.0
646.0,531.0
647.0,529.0
648.0,529.0
649.0,529.0
650.0,530.0
651.0,530.0
652.0,530.0
653.0,530.0
654.0,530.0
655.0,530.0
656.0,529.0
657.0,529.0
658.0,530.0
659.0,530.0
660.0,530.0
661.0,530.0
662.0,530.0
663.0,529.0
664.0,530.0
665.0,530.0
666.0,531.0
667.0,530.0
668.0,530.0
669.0,530.0
670.0,530.0
671.0,529.0
672.0,529.0
673.0,529.0
674.0,530.0
675.0,530.0
676.0,530.0
677.0,530.0
678.0,530.0
679.0,529.0
680.0,529.0
681.0,529.0
682.0,529.0
683.0,530.0
684.0,531.0
685.0,531.0
686.0,530.0
687.0,530.0
689.0,529.0
690.0,529.0
691.0,529.0
692.0,530.0
693.0,530.0
694.0,530.0
695.0,530.0
696.0,529.0
697.0,529.0
698.0,529.0
699.0,529.0
700.0,530.0
701.0,530.0
702.0,530.0
703.0,529.0
704.0,530.0
705.0,530.0
706.0,530.0
707.0,529.0
708.0,529.0
709.0,530.0
710.0,530.0
711.0,530.0
712.0,530.0
713.0,529.0
714.0,529.0
715.0,529.0
716.0,529.0
717.0,530.0
718.0,530.0
719.0,530.0
720.0,529.0
721.0,529.0
722.0,529.0
723.0,529.0
724.0,530.0
725.0,531.0
726.0,530.0
727.0,530.0
728.0,529.0
729.0,529.0
731.0,529.0
732.0,529.0
733.0,529.0
734.0,530.0
735.0,530.0
736.0,530.0
737.0,530.0
738.0,529.0
739.0,529.0
740.0,529.0
741.0,529.0
742.0,530.0
743.0,530.0
744.0,531.0
745.0,530.0
746.0,530.0
747.0,529.0
748.0,529.0
749.0,529.0
750.0,530.0
751.0,530.0
752.0,530.0
753.0,530.0
754.0,529.0
755.0,529.0
756.0,529.0
757.0,529.0
758.0,530.0
759.0,530.0
760.0,530.0
761.0,530.0
762.0,529.0
763.0,529.0
764.0,530.0
765.0,530.0
766.0,529.0
767.0,530.0
768.0,530.0
769.0,530.0
770.0,529.0
771.0,529.0
772.0,529.0
774.0,529.0
775.0,530.0
776.0,530.0
777.0,530.0
778.0,530.0
779.0,529.0
780.0,529.0
781.0,529.0
782.0,529.0
783.0,529.0
784.0,530.0
785.0,531.0
786.0,531.0
787.0,530.0
788.0,529.0
789.0,529.0
790.0,529.0
791.0,530.0
792.0,530.0
793.0,530.0
794.0,530.0
795.0,529.0
796.0,530.0
797.0,529.0
798.0,529.0
799.0,529.0
800.0,530.0
801.0,530.0
802.0,529.0
803.0,530.0
804.0,530.0
805.0,530.0
806.0,529.0
807.0,530.0
808.0,530.0
809.0,530.0
810.0,530.0
811.0,530.0
812.0,530.0
813.0,529.0
814.0,529.0
815.0,529.0
817.0,530.0
818.0,530.0
819.0,529.0
820.0,530.0
821.0,529.0
822.0,529.0
823.0,529.0
824.0,529.0
825.0,530.0
826.0,531.0
827.0,530.0
828.0,530.0
829.0,529.0
830.0,529.0
831.0,529.0
832.0,529.0
833.0,530.0
834.0,530.0
835.0,530.0
836.0,530.0
837.0,529.0
838.0,529.0
839.0,529.0
840.0,529.0
841.0,529.0
842.0,530.0
843.0,530.0
844.0,531.0
845.0,530.0
846.0,530.0
847.0,529.0
848.0,529.0
849.0,529.0
850.0,530.0
851.0,530.0
852.0,530.0
853.0,530.0
854.0,529.0
855.0,529.0
856.0,529.0
857.0,529.0
859.0,530.0
860.0,530.0
861.0,530.0
862.0,530.0
863.0,529.0
864.0,529.0
865.0,530.0
866.0,530.0
867.0,530.0
868.0,530.0
869.0,530.0
870.0,530.0
871.0,529.0
872.0,529.0
873.0,529.0
874.0,529.0
875.0,530.0
876.0,530.0
877.0,530.0
878.0,530.0
879.0,529.0
880.0,529.0
881.0,529.0
882.0,529.0
883.0,530.0
884.0,531.0
885.0,530.0
886.0,530.0
887.0,529.0
888.0,529.0
889.0,529.0
890.0,529.0
891.0,530.0
892.0,530.0
893.0,530.0
894.0,530.0
895.0,529.0
896.0,529.0
897.0,528.0
898.0,529.0
899.0,529.0
900.0,530.0
902.0,530.0
903.0,530.0
904.0,529.0
905.0,530.0
906.0,530.0
907.0,530.0
908.0,530.0
909.0,530.0
910.0,530.0
911.0,530.0
912.0,530.0
913.0,528.0
914.0,529.0
915.0,529.0
916.0,529.0
917.0,530.0
918.0,530.0
919.0,530.0
920.0,529.0
921.0,529.0
922.0,529.0
923.0,529.0
924.0,530.0
925.0,530.0
926.0,531.0
927.0,530.0
928.0,530.0
929.0,525.0
930.0,529.0
931.0,529.0
932.0,529.0
933.0,530.0
934.0,530.0
935.0,530.0
936.0,530.0
937.0,529.0
938.0,529.0
939.0,529.0
940.0,529.0
941.0,530.0
942.0,530.0
943.0,530.0
945.0,530.0
946.0,530.0
947.0,529.0
948.0,530.0
949.0,529.0
950.0,530.0
951.0,530.0
952.0,530.0
953.0,530.0
954.0,529.0
955.0,529.0
956.0,529.0
957.0,529.0
958.0,530.0
959.0,530.0
960.0,530.0
961.0,530.0
962.0,530.0
963.0,529.0
964.0,530.0
965.0,530.0
966.0,530.0
967.0,530.0
968.0,530.0
969.0,530.0
970.0,530.0
971.0,529.0
972.0,529.0
973.0,529.0
974.0,529.0
975.0,530.0
976.0,530.0
977.0,530.0
978.0,529.0
979.0,529.0
980.0,529.0
981.0,529.0
982.0,529.0
983.0,530.0
984.0,531.0
985.0,531.0
987.0,530.0
988.0,529.0
989.0,529.0
990.0,529.0
991.0,529.0
992.0,529.0
993.0,530.0
994.0,530.0
995.0,530.0
996.0,529.0
997.0,529.0
998.0,529.0
999.0,530.0
1000.0,529.0
1001.0,530.0
1002.0,530.0
1003.0,530.0
1004.0,530.0
1005.0,530.0
1006.0,530.0
1007.0,529.0
1008.0,530.0
1009.0,530.0
1010.0,530.0
1011.0,528.0
1012.0,529.0
1013.0,529.0
1014.0,529.0
1015.0,529.0
1016.0,530.0
1017.0,530.0
1018.0,530.0
1019.0,530.0
1020.0,529.0
1021.0,529.0
1022.0,529.0
1023.0,529.0
1024.0,530.0
1025.0,531.0
1026.0,530.0
1027.0,530.0
1028.0,529.0
1030.0,529.0
1031.0,529.0
1032.0,529.0
1033.0,529.0
1034.0,530.0
1035.0,530.0
1036.0,530.0
1037.0,529.0
1038.0,529.0
1039.0,529.0
1040.0,529.0
1041.0,529.0
1042.0,530.0
1043.0,530.0
1044.0,530.0
1045.0,530.0
1046.0,530.0
1047.0,529.0
1048.0,529.0
1049.0,528.0
1050.0,530.0
1051.0,530.0
1052.0,530.0
1053.0,530.0
1054.0,529.0
1055.0,529.0
1056.0,529.0
1057.0,529.0
1058.0,530.0
1059.0,530.0
1060.0,530.0
1061.0,530.0
1062.0,530.0
1063.0,529.0
1064.0,530.0
1065.0,530.0
1066.0,530.0
1067.0,530.0
1068.0,530.0
1069.0,529.0
1070.0,529.0
1071.0,529.0
1073.0,528.0
1074.0,529.0
1075.0,530.0
1076.0,530.0
1077.0,530.0
1078.0,530.0
1079.0,529.0
1080.0,529.0
1081.0,529.0
1082.0,529.0
1083.0,530.0
1084.0,530.0
1085.0,531.0
1086.0,530.0
1087.0,530.0
1088.0,529.0
1089.0,529.0
1090.0,529.0
1091.0,529.0
1092.0,530.0
1093.0,530.0
1094.0,530.0
1095.0,529.0
1096.0,529.0
1097.0,529.0
1098.0,529.0
1099.0,529.0
1100.0,530.0
1101.0,530.0
1102.0,529.0
1103.0,529.0
1104.0,530.0
1105.0,530.0
1106.0,529.0
1107.0,529.0
1108.0,530.0
1109.0,530.0
1110.0,530.0
1111.0,530.0
1112.0,529.0
1113.0,529.0
1115.0,529.0
1116.0,529.0
1117.0,530.0
1118.0,530.0
1119.0,530.0
1120.0,530.0
1121.0,529.0
1122.0,529.0
1123.0,529.0
1124.0,529.0
1125.0,531.0
1126.0,531.0
1127.0,530.0
1128.0,530.0
1129.0,529.0
1130.0,529.0
1131.0,529.0
1132.0,529.0
1133.0,530.0
1134.0,530.0
1135.0,530.0
1136.0,529.0
1137.0,529.0
1138.0,529.0
1139.0,529.0
1140.0,529.0
1141.0,530.0
1142.0,530.0
1143.0,530.0
1144.0,530.0
1145.0,530.0
1146.0,529.0
1147.0,529.0
1148.0,529.0
1149.0,529.0
1150.0,530.0
1151.0,530.0
1152.0,530.0
1153.0,529.0
1154.0,529.0
1155.0,529.0
1156.0,529.0
1158.0,530.0
1159.0,530.0
1160.0,530.0
1161.0,530.0
1162.0,529.0
1163.0,529.0
1164.0,529.0
1165.0,530.0
1166.0,530.0
1167.0,530.0
1168.0,530.0
1169.0,529.0
1170.0,529.0
1171.0,529.0
1172.0,529.0
1173.0,528.0
1174.0,529.0
1175.0,529.0
1176.0,530.0
1177.0,530.0
1178.0,530.0
1179.0,529.0
1180.0,529.0
1181.0,529.0
1182.0,530.0
1183.0,530.0
1184.0,531.0
1185.0,531.0
1186.0,530.0
1187.0,529.0
1188.0,528.0
1189.0,529.0
1190.0,529.0
1191.0,530.0
1192.0,530.0
1193.0,530.0
1194.0,530.0
1195.0,529.0
1196.0,529.0
1197.0,529.0
1198.0,529.0
1199.0,529.0
1201.0,529.0
1202.0,530.0
1203.0,530.0
1204.0,529.0
1205.0,530.0
1206.0,529.0
1207.0,529.0
1208.0,529.0
1209.0,530.0
1210.0,530.0
1211.0,530.0
1212.0,530.0
1213.0,529.0
1214.0,529.0
1215.0,529.0
1216.0,529.0
1217.0,530.0
1218.0,530.0
1219.0,530.0
1220.0,529.0
1221.0,529.0
1222.0,529.0
1223.0,529.0
1224.0,530.0
1225.0,531.0
1226.0,531.0
1227.0,530.0
1228.0,530.0
1229.0,529.0
1230.0,529.0
1231.0,529.0
1232.0,529.0
1233.0,530.0
1234.0,530.0
1235.0,529.0
1236.0,529.0
1237.0,529.0
1238.0,529.0
1239.0,529.0
1240.0,529.0
1241.0,529.0
1243.0,530.0
1244.0,530.0
1245.0,530.0
1246.0,530.0
1247.0,529.0
1248.0,529.0
1249.0,529.0
1250.0,529.0
1251.0,529.0
1252.0,530.0
1253.0,529.0
1254.0,529.0
1255.0,529.0
1256.0,529.0
1257.0,529.0
1258.0,529.0
1259.0,530.0
1260.0,530.0
1261.0,530.0
1262.0,529.0
1263.0,529.0
1264.0,530.0
1265.0,530.0
1266.0,530.0
1267.0,530.0
1268.0,530.0
1269.0,530.0
1270.0,529.0
1271.0,529.0
1272.0,529.0
1273.0,529.0
1274.0,529.0
1275.0,529.0
1276.0,530.0
1277.0,530.0
1278.0,529.0
1279.0,529.0
1280.0,529.0
1281.0,529.0
1282.0,529.0
1283.0,529.0
1284.0,530.0
1286.0,531.0
1287.0,529.0
1288.0,529.0
1289.0,528.0
1290.0,528.0
1291.0,529.0
1292.0,529.0
1293.0,527.0
1294.0,530.0
1295.0,529.0
1296.0,529.0
1297.0,529.0
1298.0,529.0
1299.0,529.0
1300.0,529.0
1301.0,530.0
1302.0,530.0
1303.0,529.0
1304.0,530.0
1305.0,530.0
1306.0,530.0
1307.0,529.0
1308.0,529.0
1309.0,529.0
1310.0,529.0
1311.0,529.0
1312.0,529.0
1313.0,528.0
1314.0,528.0
1315.0,529.0
1316.0,529.0
1317.0,529.0
1318.0,529.0
1319.0,529.0
1320.0,529.0
1321.0,528.0
1322.0,528.0
1323.0,528.0
1324.0,529.0
1325.0,530.0
1326.0,529.0
1327.0,529.0
1329.0,529.0
1330.0,528.0
1331.0,528.0
1332.0,528.0
1333.0,529.0
1334.0,529.0
1335.0,529.0
1336.0,529.0
1337.0,529.0
1338.0,528.0
1339.0,528.0
1340.0,528.0
1341.0,529.0
1342.0,529.0
1343.0,529.0
1344.0,530.0
1345.0,530.0
1346.0,529.0
1347.0,529.0
1348.0,528.0
1349.0,529.0
1350.0,529.0
1351.0,529.0
1352.0,529.0
1353.0,529.0
1354.0,529.0
1355.0,528.0
1356.0,528.0
1357.0,529.0
1358.0,529.0
1359.0,529.0
1360.0,529.0
1361.0,529.0
1362.0,528.0
1363.0,528.0
1364.0,529.0
1365.0,529.0
1366.0,529.0
1367.0,529.0
1368.0,529.0
1369.0,528.0
1371.0,528.0
1372.0,528.0
1373.0,528.0
1374.0,528.0
1375.0,528.0
1376.0,528.0
1377.0,528.0
1378.0,528.0
1379.0,527.0
1380.0,527.0
1381.0,527.0
1382.0,527.0
1383.0,527.0
1384.0,528.0
1385.0,529.0
1386.0,529.0
1387.0,527.0
1388.0,527.0
1389.0,527.0
1390.0,527.0
1391.0,527.0
1392.0,528.0
1393.0,528.0
1394.0,527.0
1395.0,527.0
1396.0,527.0
1397.0,527.0
1398.0,527.0
1399.0,527.0
1400.0,528.0
1401.0,528.0
1402.0,528.0
1403.0,527.0
1404.0,528.0
1405.0,528.0
1406.0,528.0
1407.0,528.0
1408.0,528.0
1409.0,528.0
1410.0,528.0
1411.0,528.0
1412.0,528.0
1414.0,528.0
1415.0,528.0
1416.0,528.0
1417.0,528.0
1418.0,529.0
1419.0,529.0
1420.0,528.0
1421.0,528.0
1422.0,528.0
1423.0,528.0
1424.0,528.0
1425.0,529.0
1426.0,529.0
1427.0,528.0
1428.0,528.0
1429.0,527.0
1430.0,527.0
1431.0,527.0
1432.0,527.0
1433.0,527.0
1434.0,527.0
1435.0,527.0
1436.0,527.0
1437.0,526.0
1438.0,526.0
1439.0,526.0
1440.0,526.0
1441.0,526.0
1442.0,527.0
1443.0,527.0
1444.0,527.0
1445.0,527.0
1446.0,527.0
1447.0,526.0
1448.0,526.0
1449.0,526.0
1450.0,527.0
1451.0,527.0
1452.0,526.0
1453.0,526.0
1454.0,525.0
1455.0,525.0
1457.0,526.0
1458.0,526.0
1459.0,526.0
1460.0,527.0
1461.0,527.0
1462.0,527.0
1463.0,526.0
1464.0,527.0
1465.0,528.0
1466.0,528.0
1467.0,528.0
1468.0,528.0
1469.0,528.0
1470.0,528.0
1471.0,528.0
1472.0,528.0
1473.0,528.0
1474.0,528.0
1475.0,529.0
1476.0,528.0
1477.0,529.0
1478.0,529.0
1479.0,528.0
1480.0,528.0
1481.0,528.0
1482.0,528.0
1483.0,528.0
1484.0,529.0
1485.0,529.0
1486.0,529.0
1487.0,527.0
1488.0,528.0
1489.0,527.0
1490.0,527.0
1491.0,527.0
1492.0,528.0
1493.0,528.0
1494.0,527.0
1495.0,527.0
1496.0,527.0
1497.0,527.0
1499.0,527.0
1500.0,527.0
1501.0,527.0
1502.0,527.0
1503.0,527.0
1504.0,527.0
1505.0,527.0
1506.0,528.0
1507.0,527.0
1508.0,527.0
1509.0,527.0
1510.0,527.0
1511.0,527.0
1512.0,527.0
1513.0,527.0
1514.0,527.0
1515.0,527.0
1516.0,528.0
1517.0,528.0
1518.0,529.0
1519.0,529.0
1520.0,529.0
1521.0,528.0
1522.0,528.0
1523.0,529.0
1524.0,530.0
1525.0,530.0
1526.0,530.0
1527.0,530.0
1528.0,529.0
1529.0,528.0
1530.0,528.0
1531.0,529.0
1532.0,529.0
1533.0,529.0
1534.0,529.0
1535.0,529.0
1536.0,529.0
1537.0,529.0
1538.0,529.0
1539.0,528.0
1540.0,529.0
1542.0,529.0
1543.0,529.0
1544.0,530.0
1545.0,530.0
1546.0,530.0
1547.0,529.0
1548.0,528.0
1549.0,529.0
1550.0,529.0
1551.0,529.0
1552.0,529.0
1553.0,529.0
1554.0,529.0
1555.0,528.0
1556.0,528.0
1557.0,528.0
1558.0,529.0
1559.0,529.0
1560.0,529.0
1561.0,529.0
1562.0,528.0
1563.0,528.0
1564.0,529.0
1565.0,529.0
1566.0,530.0
1567.0,529.0
1568.0,529.0
1569.0,529.0
1570.0,529.0
1571.0,528.0
1572.0,528.0
1573.0,528.0
1574.0,528.0
1575.0,528.0
1576.0,527.0
1577.0,527.0
1578.0,526.0
1579.0,525.0
1580.0,525.0
1581.0,525.0
1582.0,525.0
1583.0,526.0
1585.0,526.0
1586.0,527.0
1587.0,526.0
1588.0,526.0
1589.0,526.0
1590.0,526.0
1591.0,527.0
1592.0,528.0
1593.0,528.0
1594.0,528.0
1595.0,528.0
1596.0,527.0
1597.0,527.0
1598.0,527.0
1599.0,528.0
1600.0,528.0
1601.0,528.0
1602.0,528.0
1603.0,528.0
1604.0,528.0
1605.0,529.0
1606.0,529.0
1607.0,528.0
1608.0,529.0
1609.0,529.0
1610.0,529.0
1611.0,529.0
1612.0,529.0
1613.0,529.0
1614.0,529.0
1615.0,528.0
1616.0,529.0
1617.0,529.0
1618.0,528.0
1619.0,527.0
1620.0,527.0
1621.0,525.0
1622.0,524.0
1623.0,523.0
1624.0,523.0
1625.0,523.0
1627.0,521.0
1628.0,513.0
1629.0,356.0
1630.0,132.0
1631.0,23.0
1632.0,15.0
1633.0,14.0
1634.0,14.0
1635.0,14.0
1636.0,14.0
1637.0,16.0
1638.0,17.0
1639.0,18.0
1640.0,23.0
1641.0,242.0
1642.0,520.0
1643.0,528.0
1644.0,534.0
1645.0,530.0
1646.0,527.0
1647.0,526.0
1648.0,526.0
1649.0,526.0
1650.0,527.0
1651.0,527.0
1652.0,527.0
1653.0,527.0
1654.0,527.0
1655.0,527.0
1656.0,527.0
1657.0,529.0
1658.0,529.0
1659.0,528.0
1660.0,527.0
1661.0,526.0
1662.0,526.0
1663.0,526.0
1664.0,527.0
1665.0,528.0
1666.0,528.0
1667.0,529.0
1668.0,529.0
1670.0,529.0
1671.0,541.0
1672.0,523.0
1673.0,319.0
1674.0,58.0
1675.0,25.0
1676.0,24.0
1677.0,24.0
1678.0,24.0
1679.0,24.0
1680.0,26.0
1681.0,39.0
1682.0,188.0
1683.0,470.0
1684.0,529.0
1685.0,531.0
1686.0,530.0
1687.0,529.0
1688.0,529.0
1689.0,529.0
1690.0,529.0
1691.0,529.0
1692.0,530.0
1693.0,530.0
1694.0,529.0
1695.0,529.0
1696.0,528.0
1697.0,529.0
1698.0,528.0
1699.0,529.0
1700.0,453.0
1701.0,269.0
1702.0,108.0
